student_id,name,gender,age,class,teacher_id,subject,test1_score,test2_score,final_exam_score
35,Brian Cooper,Male,15,10th,105,History,74.1,71.4,66.9
36,Kathleen Watson,Male,17,11th,110,Science,59.3,72.1,77.8
37,Catherine Casey,Male,16,11th,106,History,52.4,55.8,55.4
38,Sandra Lewis,Female,14,9th,119,Art,70.8,64.8,68.3
39,Anthony Foster,Female,18,12th,101,English,65.5,77.8,91.2
40,Nathan Collins,Male,15,9th,107,Computer,52.5,59.3,66.5
41,Margaret Herrera,Female,14,9th,114,Science,60.5,63.1,51.2
42,Aaron Gutierrez,Male,17,11th,101,Science,61.2,79,68.2
43,Jerry Johnson,Male,16,11th,116,Math,61.4,54.2,74.5
44,Cole Garcia,Male,15,10th,108,Computer,48.1,36.2,44.8
45,Pamela Bennett,Female,16,11th,112,English,72.6,78.2,71.1
46,Richard Mendoza,Male,16,10th,113,English,57,50.9,49.8
47,Roger Austin,Male,17,12th,105,Math,67.7,68.4,64.7
48,Bryan Day,Female,17,12th,107,Math,46.9,45.2,51.5
49,Emily Ellis,Male,14,9th,116,Science,43.9,39.9,39.5
50,Olivia Tyler,Female,14,9th,119,Computer,77.2,79.1,80.5
51,Daniel Sullivan,Male,17,11th,102,Computer,79.4,68.3,61
52,Janice Morgan,Female,15,9th,106,History,76,70.3,80.4
53,Katherine Moreno,Female,18,12th,120,Computer,87.5,83.3,100
54,Lucy Lewis,Female,15,10th,105,Computer,67.6,76.4,52.7
55,Parker Parker,Male,16,11th,112,Art,70,80.7,77.5
56,Ruth Hernandez,Male,14,9th,105,Science,50.8,45,37.7
57,Mason Alexander,Male,15,9th,109,Computer,66.8,64.3,78.4
58,Jason Morrison,Female,14,9th,108,Computer,49.1,47.1,66.3
59,Karen Nichols,Female,15,9th,106,Computer,45.1,42,55.8
60,Susan Wilson,Male,16,10th,108,Computer,51.3,65.9,57.5
61,Cooper Long,Female,15,10th,103,Math,63.2,66.7,67.7
62,Nicholas Fox,Female,18,12th,112,History,89.7,100,97.9
63,Samuel Bell,Female,16,11th,105,English,62.5,78.7,100
64,Daniel Matthews,Female,16,11th,112,Science,59,67.8,75.5
65,Eric Kim,Female,14,9th,107,Computer,83.9,88.1,97.5
66,Mark Grant,Male,16,10th,108,English,62.3,72.2,82.3
67,Nathan Bailey,Female,18,12th,108,Math,55.5,48.3,51.9
68,Emma Mitchell,Male,17,11th,102,Math,66.3,77.3,66.3
69,Andrea Hall,Male,17,12th,120,Math,62.9,63.5,81.3
70,Stella Walker,Female,14,9th,103,Computer,90.3,93.6,88.4
71,Ruth Ballard,Male,15,9th,111,History,86.8,78,75.8
72,George Richardson,Female,14,9th,111,English,54.3,57.8,67.1
73,Julie Gonzales,Female,15,9th,116,Science,53.5,53,50.4
74,Diane Turner,Female,17,12th,105,Math,63.2,61.4,51.8
75,Cynthia Porter,Male,15,9th,119,Science,44.3,52.7,41.8
76,Scott Taylor,Female,17,12th,117,History,77,74.9,77.8
77,Jaden Chen,Female,17,11th,113,History,72.7,63.3,69.2
78,Christopher Richardson,Male,15,9th,111,Computer,74.7,64.7,73.2
79,Nora Ellis,Male,18,12th,113,English,70.8,81.9,76.6
80,Connor Hardy,Female,17,12th,117,Computer,70.9,73.8,73.1
81,Timothy Olson,Male,14,9th,112,Computer,53.8,59.9,58.2
82,Bryan Rivera,Female,14,9th,117,Math,65.3,62.6,56.3
83,Helen Ray,Female,16,11th,110,Math,70.5,65.2,70.6
84,George Herrera,Male,15,9th,107,Computer,42.5,42.6,65.2
85,Cheryl Stephens,Female,17,11th,119,Science,60.4,71.8,66.7
86,Nathan Ramirez,Female,15,9th,114,English,66.6,75.3,65.8
87,Scott Lamb,Male,14,9th,106,Math,55.2,48.1,58.1
88,Carson Wood,Male,17,12th,110,Science,64.6,64.7,51.7
89,Billy Porter,Male,15,10th,101,English,73.5,74.6,81.8
90,Gary Medina,Male,16,11th,117,Science,99.8,98.8,97.6
91,Raymond Castillo,Female,16,10th,105,Math,73.9,87.5,94.1
92,Jessica Fox,Female,16,10th,105,History,47.1,54.1,51.4
93,Shirley Stewart,Male,14,9th,118,History,68.1,77.1,64.4
94,Elizabeth King,Female,16,11th,120,Computer,82.4,73.6,92.1
95,Rachel Roy,Female,14,9th,113,English,74.6,86.4,74.7
96,Zachary Peterson,Female,14,9th,104,Math,63.4,61.5,58.5
97,Scott Gutierrez,Male,17,11th,107,Math,39.9,57.5,51.1
98,Charles Tyler,Male,14,9th,116,Computer,56.2,67.4,59.7
99,Jacob Clark,Male,17,11th,108,Computer,63.7,60.4,73.7
100,Danielle Harrison,Male,16,10th,111,Computer,81,94.2,83.5
101,Rachel Mcdaniel,Male,15,9th,102,Science,49.3,62.6,72.3
102,Jacob Stevens,Female,16,11th,118,Math,68.6,64.7,85.2
103,Chase Watkins,Male,16,10th,115,Math,52.9,49.8,55.9
104,Austin Edwards,Male,15,10th,118,Science,58.5,77.4,77.4
105,Douglas Berry,Male,15,9th,120,History,55.5,58.4,62.7
106,Savannah Flores,Female,14,9th,115,History,41.1,58.6,55.9
107,Roger Wagner,Female,14,9th,101,History,75.6,70.1,80.2
108,Kenneth Parks,Female,14,9th,103,Science,63.3,69.8,64.5
109,Pamela Barnes,Female,16,11th,115,Science,68.6,89.2,82.6
110,Michelle Patterson,Male,16,11th,117,History,45.7,48.9,37.6
111,Stephen Morales,Male,17,12th,105,Art,47.2,58.4,77
112,Amber Ballard,Male,17,12th,115,History,79.8,77.9,72.4
113,Grace Medina,Male,15,9th,116,English,45.4,50.7,39.1
114,Justin Sharp,Female,14,9th,118,English,66.3,63.7,76.2
115,Caleb Tran,Male,15,10th,104,Computer,57.9,40.3,42.1
116,Ethan Moore,Female,18,12th,120,Computer,66,62.1,68
117,Caleb Morales,Female,18,12th,110,English,81.6,85.4,81.5
118,Victoria Snyder,Female,16,11th,119,Math,56.7,73.3,69.7
119,Ruth King,Male,15,9th,112,English,68.3,70.5,76.6
120,Gary Simmons,Female,16,10th,109,History,59.1,58.3,69.9
121,Michelle Myers,Female,16,11th,107,Math,55.7,76.2,53.7
122,Doris Nelson,Male,15,10th,118,Science,81.5,73.4,75.2
123,Sean Woods,Male,15,9th,112,Math,78.3,74.5,90.4
124,Betty Keller,Female,16,11th,118,Math,52.4,51.1,60.5
125,Susan Ross,Female,16,11th,114,Computer,71.3,77.5,60.2
126,Ashley Parker,Female,16,11th,110,History,60,69.2,62.1
127,Amanda Hayes,Male,15,9th,115,History,55.6,58.1,65.4
128,Ian Patterson,Female,15,10th,114,Art,56.8,75.9,60.3
129,Dorothy Stevens,Female,15,10th,116,English,64.6,73.4,73.3
130,Walter Gutierrez,Male,15,10th,107,Computer,76.5,78.6,92.6
131,Lily Fleming,Female,14,9th,108,Science,68.2,67.1,75.3
132,Charles White,Male,16,10th,103,Math,69.2,79.6,65.7
133,Joyce Wells,Female,15,10th,113,History,77.2,91.5,93.6
134,Nathan Matthews,Female,17,11th,117,Computer,72.7,73.9,63
135,Lily Day,Female,17,11th,108,Math,46.2,67.8,49.6
136,Hannah James,Male,15,10th,106,Science,69.8,79.4,71.8
137,Dylan Carpenter,Male,18,12th,113,Science,52.6,56.3,74.5
138,Anna Wells,Male,16,11th,114,Computer,57.5,79.6,76.5
139,Janice Wells,Male,17,12th,115,Math,77.6,81.6,80.6
140,Patricia Morales,Female,18,12th,106,Computer,63,61,73.6
141,Steven Vargas,Male,16,11th,109,Science,56.3,53.2,64
142,Grace Smith,Male,17,12th,111,Science,87.7,83.6,89.6
143,Scott Miller,Female,17,12th,105,English,40.6,47.4,56.8
144,Carson Wells,Female,15,9th,107,Science,55.1,59.9,53.9
145,Dennis Hardy,Male,17,11th,101,Computer,77.7,79.8,84.7
146,Ashley Patterson,Female,18,12th,108,Computer,67.3,66.4,80.6
147,Katherine Washington,Female,14,9th,120,Science,84.9,67,94
148,Evelyn Cummings,Male,17,12th,103,History,58,56.5,65.3
149,Dorothy Thomas,Female,15,9th,113,Science,44.9,49.4,67.1
150,Andrea Rogers,Female,17,12th,114,English,61.4,61.3,68.5
151,James Page,Male,16,11th,104,Computer,56.2,68.7,65.6
152,Pamela Lopez,Female,14,9th,120,Science,70.1,66.6,74.5
153,Austin Wells,Male,14,9th,115,Math,33.6,43.4,57.2
154,Ronald Austin,Male,17,12th,115,Math,49.4,39.4,53.2
155,Arthur Shaw,Female,15,9th,107,Math,62,73.1,64.3
156,Donald Kelly,Male,18,12th,106,Science,45.1,56.9,54
157,Ian Flores,Female,15,9th,116,English,58.1,49.7,57.4
158,Christine Rodriguez,Female,18,12th,111,History,52.7,56.8,50.3
159,Carson Anderson,Female,15,10th,102,Math,73,68.6,73.4
160,Arthur Freeman,Male,17,12th,112,Computer,72.1,76.9,66.4
161,Nora Graham,Male,17,12th,113,Computer,57.4,69.2,55.1
162,Jeffrey Black,Female,18,12th,105,History,66.4,69.1,75.5
163,Adam West,Female,15,10th,105,Science,70,79.7,74.9
164,George Davis,Male,17,11th,110,Science,65,59.1,62
165,Grace Hunter,Female,15,10th,106,Science,85.3,82.8,92.8
166,Kathryn Ramirez,Female,14,9th,120,History,71.2,56.9,71.1
167,James Nguyen,Male,14,9th,116,English,81.2,85.1,94
168,Cameron Mcdaniel,Female,14,9th,117,Computer,34.6,34.6,35.2
169,Raymond Wood,Female,15,10th,119,Math,79.2,78,79.7
170,Jean Phillips,Female,15,10th,114,Computer,72.3,70.1,73.9
171,Jennifer Hayes,Female,15,9th,108,Science,53.1,65.2,57.6
172,Ashley Barber,Male,14,9th,119,English,55.6,69.9,74.2
173,Ruth Foster,Female,17,11th,108,Math,77.9,83,75.4
174,Debra Woods,Female,14,9th,103,Math,55.2,64.5,69.8
175,Jonathan Evans,Female,15,9th,103,Math,55.7,58.2,72.3
176,Thomas Patterson,Male,16,10th,114,Science,60.6,52.3,53.1
177,Jonathan Kennedy,Male,17,11th,106,Math,64.6,52.1,71
178,Danielle Mcdaniel,Male,17,12th,106,Art,79.3,55,71.7
179,Daniel Jenkins,Male,15,10th,103,Math,48.3,50.1,50.9
180,Matthew Sanders,Male,15,9th,110,Computer,81.3,77,88.8
181,Terry Barnes,Female,15,9th,109,History,49.3,66.4,67.5
182,Karen Payne,Male,14,9th,119,History,67.5,72,69.7
183,Kathryn Morrison,Male,14,9th,120,English,80.4,83.5,74.3
184,Emily Holt,Female,14,9th,109,Computer,58.6,76.3,77.4
185,Andrew Stevens,Male,16,10th,114,History,56.3,61.3,67.3
186,Addison Rios,Female,15,9th,115,Science,66.7,72.2,77.7
187,Jacqueline Foster,Male,15,9th,101,Math,47.7,59.9,42.3
188,Jordan Shaw,Female,15,10th,104,Computer,100,84.8,86.7
189,Melissa Lopez,Female,17,12th,113,History,50.9,51.1,59
190,Pamela Reynolds,Female,16,10th,110,Math,53.2,65.4,55.3
191,Dylan Brooks,Male,16,11th,101,Math,50.3,63.2,52.5
192,Cole Barker,Female,16,11th,108,Science,54.8,59.4,62.6
193,Walter Ellis,Male,15,9th,104,English,81.8,69.2,74.7
194,Jacob Watson,Female,17,12th,110,Science,55.4,58,61.3
195,Grace Ortega,Male,14,9th,107,English,59.9,43.5,49.9
196,Laura Reed,Female,16,11th,111,Math,76.8,86.2,95
197,Frank Nichols,Male,16,10th,110,English,70.7,82.3,86.6
198,Victoria Hunter,Female,17,12th,120,English,72.3,77.4,81.4
199,Adam Castillo,Male,17,12th,103,History,55.7,50.5,56.4
200,Jeremy Holt,Male,14,9th,120,Computer,84.6,87.3,92
201,Abigail Barnes,Female,17,12th,108,Science,70.6,77.3,83.5
202,Christian Henry,Male,16,10th,108,Art,66.1,77.2,66.8
203,Paul Gonzales,Female,17,12th,103,Math,76.5,86,75.3
204,Stephen Wells,Female,16,11th,104,English,63.9,60.9,64.4
205,Nicholas Garcia,Female,16,11th,108,Computer,71.2,83.3,90.5
206,Charles Cruz,Female,14,9th,106,Computer,79.3,75,86.3
207,Dennis Kim,Male,16,11th,101,Math,40,35.9,37.6
208,Jennifer Douglas,Female,16,10th,108,Math,75.7,86.6,75.8
209,Zoe Kennedy,Female,17,12th,104,Computer,65.1,79.6,79.5
210,Janice Holt,Male,17,12th,118,History,61.7,67,47.6
211,Shirley Ellis,Female,14,9th,109,Computer,57.8,52.1,72.5
212,Zoe Cunningham,Male,17,12th,119,History,82.5,78.9,88.5
213,Gary Willis,Male,16,10th,106,History,55.8,60.3,56.3
214,John Lopez,Female,16,10th,104,English,97.2,88.2,81.4
215,Christopher Evans,Male,18,12th,108,History,64.5,72.9,79.6
216,Lucy Love,Male,17,12th,115,Math,54.9,64.9,46.3
217,Thomas Boyd,Male,14,9th,101,Science,48.4,53.7,55.8
218,Shirley Turner,Male,14,9th,104,History,46,44.2,46.5
219,Karen Mitchell,Female,18,12th,101,English,57,77.2,51.9
220,William Hines,Male,16,11th,110,Art,57.9,43.3,51.5
221,Jack Wright,Male,17,12th,106,Computer,58.3,61.9,71.2
222,Christopher Baker,Female,15,10th,113,Science,80,64.6,67.1
223,Lawrence Jordan,Male,16,10th,111,Computer,69.2,58,73.9
224,Angela Wheeler,Female,15,10th,115,Computer,69.3,87.7,88
225,Emma Watson,Female,15,10th,102,English,74.3,72.9,60.6
226,Terry Reed,Male,15,10th,109,English,63.6,80.1,65.9
227,Kathleen Hernandez,Male,16,11th,120,Science,36.7,36.5,28.2
228,Grace Chen,Male,16,11th,105,English,55,70.2,65.2
229,Donna Guzman,Male,17,12th,112,English,76.2,100,84
230,Logan Parks,Male,17,12th,118,Science,57.1,61.7,52.1
231,Mason Nelson,Male,17,11th,106,History,54.2,63.3,85.7
232,Gerald Mason,Male,16,10th,118,History,58.4,59.8,67.9
233,Helen Parker,Male,16,11th,105,English,55.1,44.3,60.2
234,Gerald Carpenter,Female,17,12th,114,Computer,63.3,60.5,70.7
235,Kelly Rios,Female,17,12th,116,Computer,66,65,56.5
236,Jason Collins,Male,18,12th,110,Math,42.5,44.3,46.7
237,Anthony Barber,Male,15,9th,118,English,47.4,50.8,48
238,Margaret McDonald,Female,16,11th,103,Math,53.1,56.5,74.9
239,Addison Robertson,Female,14,9th,117,English,44.4,47.4,54.6
240,Ethan Love,Female,14,9th,108,Math,72.9,63.9,72.6
241,Tyler Ballard,Male,17,12th,103,Computer,66.4,72.6,72.5
242,Walter Romero,Male,17,11th,116,Math,78,82.2,86.9
243,Lauren Young,Female,15,10th,113,Computer,87.4,75.8,96
244,Hannah Taylor,Male,16,11th,102,Science,68.2,63.4,72
245,Jessica Powell,Male,14,9th,120,English,69.1,62.5,79.8
246,Chase Hall,Male,14,9th,108,Science,38.7,51,61.6
247,Jaden Lewis,Female,17,12th,104,English,65.3,57.3,61.2
248,Mark Martinez,Male,17,11th,109,Math,45.8,48,56.6
249,Sarah Morales,Female,17,11th,103,Computer,43.6,46.4,40.6
250,Zachary Walters,Female,14,9th,120,English,74.4,68.1,77.8
251,Dennis Mason,Male,15,10th,110,History,44.3,47.4,35.6
252,Ashley Young,Male,15,10th,117,Science,77.4,70.3,73.7
253,Stephen Banks,Female,15,9th,103,Math,33.9,29.2,29.3
254,Jason Ford,Male,15,9th,106,Math,47.8,42.9,69.7
255,Jason Rivera,Male,14,9th,108,Math,53,41.3,45.6
256,Bryan Harper,Female,17,11th,119,Science,52.1,63.9,55.1
257,Megan Beck,Female,14,9th,103,Computer,79.3,85.2,83.4
258,Michelle Fleming,Female,14,9th,106,Computer,59.4,60.4,70.1
259,Walter Carter,Male,17,12th,113,Science,52.3,57.4,70.2
260,Edward Rogers,Male,14,9th,112,Math,68.6,71,61.8
261,Emma James,Male,17,12th,104,Science,32.4,38.7,49.5
262,Cheryl Nichols,Male,16,11th,113,Computer,71.5,78.7,81.3
263,Anna Adams,Female,16,10th,113,Science,70.7,69.5,72.7
264,Nancy Gonzales,Male,17,11th,102,English,91.6,79.9,88.1
265,Keith Morris,Male,14,9th,119,English,94.9,95.7,96.7
266,Jordan Harper,Male,16,10th,113,English,69,72,83.7
267,Margaret Klein,Male,17,12th,119,Computer,62.4,64.4,54.7
268,Joseph Myers,Male,15,10th,109,Science,69.4,78.9,79.2
269,Avery Nichols,Male,15,9th,116,English,50.9,60.1,56.8
270,Joe Davis,Female,17,12th,109,English,86.3,93.7,96.9
271,Robert Mitchell,Male,16,11th,110,History,71.2,65.7,81.5
272,Anthony Medina,Male,16,11th,118,Computer,45.6,50.7,53.3
273,Angela Brooks,Male,16,11th,118,Science,71.1,85.5,83.6
274,Melissa Hughes,Male,14,9th,118,English,62.1,65.5,55.3
275,Kelly Ferguson,Female,16,11th,111,Math,59.6,75.6,68.3
276,Terry Gray,Male,17,12th,118,Math,61.2,65.2,72.2
277,Ann Torres,Female,16,11th,104,Science,74.7,75.2,77.7
278,Jacob Austin,Male,18,12th,105,Science,69.3,71.4,70.8
279,Zachary Morales,Female,17,12th,112,Art,89.2,88.5,100
280,Thomas Fowler,Male,18,12th,108,Computer,85.4,79.1,84.9
281,George Casey,Female,15,10th,103,Science,41.7,29.8,43.1
282,Olivia Pena,Male,15,10th,118,Math,51.9,57.3,55.4
283,James Fernandez,Male,16,11th,102,Art,65.4,80.5,73.4
284,Virginia Cruz,Female,14,9th,111,English,79.7,88.9,82.7
285,Pamela Ellis,Male,16,10th,103,Math,36.9,40.6,50.1
286,Andrea Chen,Female,16,10th,108,Computer,72.7,81.1,78.8
287,Samantha Cook,Female,18,12th,113,Computer,68.9,74.3,67.7
288,Walter Wallace,Female,16,10th,108,English,88.5,90.5,91.9
289,Billy Chavez,Female,15,9th,119,Math,52.6,60.5,60
290,Cooper Ford,Female,15,9th,113,Art,74.1,84.7,83.9
291,Terry Cunningham,Male,17,12th,119,Math,63.8,60,49.3
292,Brian Harris,Female,17,12th,108,Computer,65,64.4,64.4
293,Jason Sanchez,Male,18,12th,113,Science,86.1,78.6,96.7
294,Gregory Cole,Female,14,9th,104,Art,38.4,36.4,46.7
295,Gary Davis,Male,15,10th,113,Art,28.7,49.3,57.8
296,Thomas Mcdaniel,Female,16,10th,101,Computer,67.9,72.3,66.2
297,Hailey Davis,Female,18,12th,112,Science,43.9,52.3,51.8
298,Joe Simmons,Female,15,10th,105,Math,55.2,53.7,48.5
299,Sarah James,Male,15,10th,103,Art,100,100,97.7
300,Rachel Chavez,Female,16,11th,101,Computer,61.8,72.5,71.6
301,Thomas Gutierrez,Male,14,9th,117,English,74.1,64.7,76.9
302,Joseph Gutierrez,Female,17,11th,104,Computer,69.6,64.5,86.6
303,Caleb Sullivan,Male,17,11th,117,English,70.7,85.7,81.5
304,Jacqueline Greer,Male,14,9th,111,English,59.6,59.1,72.4
305,Madison Cook,Male,15,9th,102,English,61.2,62.4,52.9
306,Kathryn Cox,Female,16,11th,102,Math,64.6,68.7,59.1
307,Brian Tyler,Male,17,12th,111,English,54.6,75.3,82
308,Thomas Mitchell,Female,17,12th,109,English,88,81,83
309,Arthur Guzman,Female,16,10th,102,Computer,51.3,60.4,58.4
310,Daniel Beck,Male,16,11th,104,History,79.2,72.3,63.1
311,Edward Hines,Female,14,9th,104,History,60.5,78.4,69.4
312,Karen Reynolds,Female,16,10th,115,History,66.4,61.2,75.4
313,Lily Hayes,Male,16,10th,118,English,42.2,45.2,57.5
314,Karen Wood,Male,15,10th,111,Math,63.1,63.8,61.9
315,Angela Jones,Male,17,12th,108,Math,58.3,71.6,69.8
316,Kelly Lopez,Female,18,12th,119,Computer,69.3,69.2,71.3
317,Paul Torres,Female,17,11th,120,History,94.3,87.4,100
318,Logan Howard,Female,15,9th,118,Science,43.9,46.3,48.7
319,Stephen Scott,Female,16,10th,112,History,58.2,54.7,65.9
320,Mason Simon,Male,17,12th,118,Math,71.2,74.3,72.8
321,Lily Castillo,Male,16,10th,110,History,89.2,85.7,85
322,Barbara Howard,Male,16,11th,101,Science,58.7,53,55.1
323,Parker Fisher,Female,15,9th,110,Math,94.6,100,100
324,Lisa Chavez,Male,17,11th,113,Math,57.9,61,73.9
325,Christina Sullivan,Male,16,11th,114,English,65.2,77.1,81.3
326,Addison Bailey,Male,15,9th,117,Math,71.1,72.9,67.3
327,Caleb Bailey,Male,15,9th,118,Science,41.4,52.5,48
328,Danielle Gonzalez,Female,15,10th,101,Science,55.7,65.3,60.9
329,Jesse Hubbard,Male,17,12th,112,Math,53.2,58.3,56.1
330,Patrick King,Female,15,9th,102,English,42.9,45.1,55.2
331,Justin Cooper,Female,14,9th,109,Math,60.4,57.1,66
332,Ryan Campbell,Female,17,12th,102,Math,72.7,75.4,64.7
333,Rachel Reynolds,Female,17,12th,107,Computer,52.5,48.4,55.6
334,Jonathan Williams,Female,17,11th,120,English,46.1,53.9,58.3
335,Pamela Gordon,Male,17,12th,111,History,79.5,78.1,82.1
336,Douglas Boyd,Male,14,9th,102,Art,84.3,77.5,90.8
337,Donna Ortiz,Male,16,10th,118,Math,64,64,47.4
338,Savannah Hardy,Female,14,9th,107,Science,53.3,62.3,64.9
339,Christine Gonzales,Male,16,11th,114,Computer,67,71.6,66.1
340,Roger Cook,Male,17,12th,117,Math,44.6,55,52
341,Patrick Lee,Female,16,11th,107,History,79.2,69.2,84
342,Christopher Cunningham,Female,15,9th,111,Computer,64.9,59.5,77
343,John Freeman,Male,17,11th,101,Math,68.6,66.8,76.5
344,Roger Stevens,Female,17,11th,115,Computer,75.3,80.1,68
345,Parker Douglas,Male,15,9th,116,History,80.5,65.7,62.8
346,Bruce Long,Male,17,12th,119,English,45.8,66,55.9
347,Mark Vasquez,Male,17,12th,102,Art,77.9,79.6,66.5
348,Christopher Barber,Male,15,10th,112,English,74.3,72.4,76.3
349,Grace Hall,Female,16,10th,116,History,34,43.9,48
350,Jacob Matthews,Female,16,11th,118,Computer,63.2,68.5,75.3
351,Arthur King,Female,18,12th,102,Math,61.4,63.3,64.2
352,Donna Arnold,Female,17,11th,116,Math,73.8,68.3,68.3
353,Heather Perry,Male,17,12th,109,Computer,76.3,86,68.9
354,Karen Marshall,Male,18,12th,107,Computer,65.3,77.4,74.2
355,Helen Owens,Male,17,12th,101,Science,65.2,76.3,67.3
356,Julie Ortiz,Male,18,12th,102,Art,75.3,70.1,65.6
357,Samantha Campbell,Male,16,10th,110,English,85.4,83.2,80.5
358,Brian Hines,Male,14,9th,111,Math,57.4,61.3,55
359,Jeremy Greer,Female,15,9th,110,Science,46.9,48.7,52.3
360,Joe Patterson,Male,14,9th,112,Science,38.7,47.7,48.8
361,Alexander Rivera,Female,14,9th,109,English,71.9,85.4,73.5
362,Owen Gutierrez,Male,17,12th,113,Math,72.1,68.4,72
363,Chase Ward,Female,17,12th,106,Math,73.5,60.8,80.3
364,Dylan Stephens,Male,15,9th,113,Science,72,73.2,86.1
365,John Evans,Male,14,9th,114,Computer,76.9,75.2,58.2
366,Billy Miller,Female,17,12th,110,Math,77.3,58.7,79.8
367,Christine Peterson,Female,16,11th,107,English,51,52.7,55.3
368,Mila Garcia,Male,14,9th,114,Science,55.5,62.6,55.7
369,Sandra Hamilton,Female,16,10th,120,English,45.3,61.5,62.2
370,Joshua Stewart,Female,14,9th,102,History,90.3,86.9,100
371,Pamela Chavez,Female,17,12th,110,Art,70,72,87.5
372,Steven Colon,Female,14,9th,117,Computer,56.4,58.2,60.1
373,Donald Romero,Male,17,12th,119,History,42.1,61.6,48.4
374,Brian Ortiz,Female,17,12th,105,Math,59.6,56.8,54.7
375,Nicole Marshall,Female,17,11th,111,Math,47.5,54.5,58.1
376,Benjamin Rogers,Male,14,9th,105,Science,71.6,68.5,80.5
377,Cole Ward,Female,17,11th,120,History,63.8,69,68
378,Jacob Brown,Male,14,9th,112,Science,49.6,63.7,62.8
379,Maria Guzman,Female,18,12th,107,Science,49.4,42.8,54.5
380,Ryan Williams,Male,16,11th,106,English,92.1,91.3,99.3
381,Connor Payne,Male,17,12th,114,Math,83.6,69.7,75.4
382,Pamela Gomez,Female,15,9th,106,English,75.2,91.2,89.1
383,Arthur Williams,Female,16,10th,104,English,65.3,50.9,65.8
384,Jean Campbell,Female,17,11th,107,Computer,52.4,45.9,65.7
385,Anna Bryant,Female,14,9th,111,Science,35.3,38.8,26.6
386,Joseph Barnes,Male,16,11th,101,Math,68.7,57,75.7
387,Anthony Morgan,Male,17,11th,118,History,94.8,84.8,97.1
388,Connor Berry,Female,16,10th,104,English,63,54.6,58.1
389,Brandon Deleon,Female,16,10th,114,English,67.2,77.1,76.3
390,Richard Gibson,Male,17,12th,104,Computer,67.7,84.5,66.4
391,Mary Williams,Male,15,10th,118,English,56.4,57.4,46.1
392,Catherine Martinez,Male,18,12th,112,Science,57.7,55.8,58.6
393,Donna Murphy,Female,17,12th,118,Computer,55.8,52.2,58.1
394,Stella Moreno,Male,14,9th,119,English,58.1,50.2,59.2
395,Justin Vargas,Male,18,12th,110,History,95.1,96.8,87.2
396,George Martinez,Male,16,11th,112,English,51.2,73,57.6
397,Judith Klein,Male,14,9th,112,Science,70.5,75.7,84.8
398,Janice Hall,Male,17,12th,102,Math,42,50.4,55.5
399,Joan Pratt,Male,17,12th,104,Computer,49.3,60,51.2
400,Amber Love,Female,18,12th,110,History,74.9,71.9,92.5
401,John Ray,Male,18,12th,112,Math,55.5,70.8,67.6
402,Nancy Jenkins,Male,18,12th,117,English,95.7,97,92.9
403,Kevin Henderson,Female,14,9th,105,History,76.3,92.7,83.3
404,Sara Bell,Male,17,12th,112,English,29.1,35.9,35.3
